H0AL020872012,116
H0AL020872014,121
H0AL051632012,163
H0AL051632014,23
H0AL070862012,112
H0AL070862014,43
H0AL071772012,5
H0AR010832012,263
H0AR010832014,136
H0AR021072012,231
H0AR021072014,27
H0AR030552012,238
H0AR030552014,171
H0AZ012592012,38
H0AZ012592014,10
H0AZ013252014,153
H0AZ033212012,154
H0AZ080562012,134
H0CA021382012,24
H0CA030782012,852
H0CA030782014,872
H0CA061212012,14
H0CA080692012,54
H0CA080692014,39
H0CA100732014,58
H0CA101492012,344
H0CA101492014,174
H0CA113372014,27
H0CA151482012,94
H0CA151482014,417
H0CA190822012,11
H0CA190822014,2
H0CA191732012,250
H0CA191732014,222
H0CA260872012,12
H0CA270852012,177
H0CA270852014,103
H0CA321012012,297
H0CA321012014,191
H0CA331172012,32
H0CA331172014,175
H0CA480242012,253
H0CA480242014,162
H0CA490552012,76
H0CA490552014,35
H0CA510362012,30
H0CO041222012,284
H0CO041222014,3064
H0CT030722012,195
H0CT030722014,123
H0CT041462014,464
H0CT051502012,20
H0CT051502014,103
H0DE010172012,67
H0DE010172014,19
H0FL020862012,118
H0FL021102012,157
H0FL021102014,227
H0FL021362014,1
H0FL031002012,3
H0FL040662012,10
H0FL040662014,34
H0FL051392012,5
H0FL051392014,5
H0FL070772012,62
H0FL082082012,128
H0FL082082014,99
H0FL121012012,33
H0FL121012014,52
H0FL140652012,15
H0FL150542012,9
H0FL170682012,9
H0FL170682014,8
H0FL180252012,169
H0FL180252014,58
H0FL190802012,118
H0FL190802014,54
H0FL200702012,303
H0FL200702014,4
H0FL201042012,1
H0FL250382012,35
H0GA071252014,92
H0GA071332012,7
H0GA071332014,99
H0GA080992012,75
H0GA080992014,57
H0GA090302012,73
H0GA090302014,95
H0HI011572012,100
H0HI011572014,275
H0IA011172012,295
H0ID012532012,160
H0ID012532014,78
H0IL050962012,94
H0IL050962014,138
H0IL080902012,356
H0IL103022012,1048
H0IL103022014,936
H0IL110522012,117
H0IL110522014,204
H0IL140802012,158
H0IL140802014,91
H0IL170592012,539
H0IL170592014,327
H0IN021252012,134
H0IN021252014,161
H0IN031982012,140
H0IN031982014,183
H0IN041702012,166
H0IN041702014,188
H0IN071572012,36
H0IN081142012,339
H0IN081142014,138
H0IN090702012,426
H0IN090702014,343
H0KS031372012,110
H0KS031372014,185
H0KS040512012,201
H0KS040512014,126
H0KS041012012,1
H0KY032262012,40
H0KY050152012,125
H0KY050152014,62
H0KY061042012,889
H0KY061042014,484
H0LA010872012,77
H0LA010872014,89
H0LA031412012,242
H0MA041272012,150
H0MA050662012,40
H0MA100822012,66
H0MA100822014,55
H0MD070722012,13
H0MD081382012,6
H0MI010882012,217
H0MI010882014,227
H0MI011532012,266
H0MI011532014,1
H0MI020942012,120
H0MI020942014,58
H0MI031262012,200
H0MI031262014,137
H0MI080422012,106
H0MI080422014,22
H0MI100712012,185
H0MI100712014,20
H0MI121272012,5
H0MN010372012,23
H0MN010452014,44
H0MN040492012,75
H0MN040492014,75
H0MN070592012,85
H0MN070592014,1
H0MN081152012,247
H0MO010662012,13
H0MO010662014,3
H0MO011322012,2
H0MO022132014,1
H0MO040862012,212
H0MO040862014,93
H0MO060732012,30
H0MO060732014,6
H0MO061722012,3
H0MO071132012,88
H0MO071132014,87
H0MS010432012,330
H0MS010432014,99
H0MS020662012,14
H0MS041202012,141
H0MS041202014,40
H0NC020592012,114
H0NC020592014,179
H0NC081632012,5
H0ND010262012,362
H0ND010262014,235
H0NH012172012,146
H0NH012172014,100
H0NH020172012,126
H0NH021812012,380
H0NH021812014,360
H0NJ010662012,176
H0NJ010662014,22
H0NJ031532012,274
H0NJ031532014,2
H0NJ061642012,51
H0NJ061642014,7
H0NJ100262012,1
H0NV030582012,315
H0NV030582014,337
H0NY011292012,468
H0NY020852012,441
H0NY020852014,490
H0NY021762012,56
H0NY021762014,5
H0NY040572012,22
H0NY040572014,8
H0NY040992012,63
H0NY130742012,132
H0NY130742014,136
H0NY180652012,2
H0NY180652014,1
H0NY191392012,410
H0NY191392014,397
H0NY200952012,236
H0NY200952014,379
H0NY230572012,160
H0NY230572014,45
H0NY230812012,293
H0NY230812014,12
H0NY250782012,334
H0NY250782014,1
H0NY290542012,257
H0NY290542014,108
H0OH061892012,348
H0OH061892014,213
H0OH080292012,1225
H0OH080292014,575
H0OH120622012,532
H0OH120622014,388
H0OH160972012,661
H0OH160972014,250
H0OH180772012,300
H0OH180772014,136
H0OK051142012,91
H0OK051142014,710
H0OK051552012,9
H0OR020932012,13
H0OR040812012,300
H0OR040812014,198
H0OR050472012,11
H0PA032712012,285
H0PA032712014,207
H0PA042202012,554
H0PA042202014,306
H0PA060762014,325
H0PA060842012,459
H0PA060842014,427
H0PA070822012,465
H0PA070822014,196
H0PA100782012,113
H0PA100782014,118
H0PA121322012,434
H0PA130802014,70
H0RI010732012,132
H0RI010732014,92
H0RI021392012,61
H0RI021392014,53
H0SC012792012,205
H0SC030772012,53
H0SC030772014,87
H0SC042572012,18
H0SC042572014,30
H0SC050312012,78
H0SC050312014,71
H0SD000542012,437
H0SD000542014,324
H0TN032542012,44
H0TN032542014,47
H0TN041952012,161
H0TN041952014,46
H0TN051502014,8
H0TN062572012,62
H0TN062572014,39
H0TN082462012,117
H0TN082462014,89
H0TN082872012,9
H0TN090612014,1
H0TX040372012,41
H0TX040372014,5
H0TX060652014,7
H0TX070552012,98
H0TX070552014,88
H0TX121472014,19
H0TX171042012,85
H0TX171042014,169
H0TX230862014,331
H0TX270612012,159
H0TX270612014,257
H0UT020962012,184
H0UT020962014,1
H0VA020842012,318
H0VA020842014,191
H0VA050952012,397
H0VA050952014,170
H0VA070422012,514
H0VA070422014,564
H0VA080402012,108
H0VA080402014,27
H0VA081492012,120
H0VA090552012,184
H0VA090552014,63
H0VA101452014,7
H0WA020802012,74
H0WA020802014,63
H0WA031612012,256
H0WA031612014,160
H0WA080462012,398
H0WA080462014,221
H0WA090442012,36
H0WI020602012,18
H0WI040902012,4
H0WI040902014,2
H0WI060612012,22
H0WI061522012,2
H0WI070512012,247
H0WI070512014,227
H0WI080752012,227
H0WI080752014,81
H0WV010722012,282
H0WV010722014,233
H0WV021382012,317
H2AL010772012,115
H2AL010772014,1
H2AL030322012,157
H2AL030322014,119
H2AL050942012,11
H2AL060352012,161
H2AL061422012,17
H2AR010712012,171
H2AR010712014,1
H2AR020532012,74
H2AR040832012,528
H2AR040832014,2917
H2AR041092012,14
H2AZ020552012,17
H2AZ031452012,1
H2AZ041432014,4
H2AZ051322014,1
H2AZ061712012,2
H2AZ070702012,46
H2AZ070702014,35
H2AZ080942012,278
H2AZ080942014,344
H2AZ081022012,194
H2AZ081022014,620
H2AZ090192012,422
H2AZ090192014,461
H2AZ090352012,8
H2AZ090352014,206
H2CA001042012,210
H2CA001042014,69
H2CA001202012,792
H2CA001202014,572
H2CA021422012,132
H2CA021422014,52
H2CA041142012,13
H2CA050952012,1
H2CA062592014,108
H2CA081642012,105
H2CA081642014,73
H2CA101452012,436
H2CA111352012,888
H2CA111352014,1
H2CA130992012,8
H2CA141392012,19
H2CA150942012,321
H2CA150942014,151
H2CA160922012,218
H2CA161002014,161
H2CA170902012,2
H2CA170902014,3
H2CA191122012,4
H2CA200942012,194
H2CA200942014,445
H2CA221402012,120
H2CA221402014,1
H2CA231062012,464
H2CA231142014,100
H2CA231222012,31
H2CA250362012,231
H2CA250362014,7
H2CA251432012,146
H2CA251432014,17
H2CA260262012,723
H2CA261092012,412
H2CA261092014,235
H2CA271982012,65
H2CA271982014,65
H2CA281132012,75
H2CA281132014,125
H2CA301432012,132
H2CA301432014,114
H2CA311252012,21
H2CA311252014,351
H2CA311332012,76
H2CA311332014,3
H2CA330482012,36
H2CA330482014,58
H2CA331472012,156
H2CA351182012,39
H2CA351182014,1
H2CA364392012,552
H2CA364392014,595
H2CA370232012,120
H2CA370232014,97
H2CA382372012,1
H2CA382372014,2
H2CA390782012,37
H2CA390782014,46
H2CA391362012,201
H2CA391362014,1
H2CA411162012,43
H2CA432452012,327
H2CA432452014,238
H2CA433772012,250
H2CA433852012,1
H2CA461072012,68
H2CA461072014,1
H2CA471052012,346
H2CA480872012,154
H2CA480872014,1
H2CA480952012,1
H2CA492182012,51
H2CA500262012,95
H2CA500262014,19
H2CA501662014,4
H2CA520892012,407
H2CA520892014,632
H2CO011242012,8
H2CO021482012,116
H2CO031382012,491
H2CO031462012,19
H2CO031462014,9
H2CO040942012,213
H2CO041022012,1
H2CO050592012,88
H2CO050592014,1
H2CO061232012,455
H2CO061232014,3
H2CO061492012,4
H2CO071212012,458
H2CT011632012,37
H2CT011892014,12
H2CT021122012,271
H2CT021122014,237
H2CT021462012,35
H2CT021462014,2
H2CT040682012,591
H2CT040682014,9
H2CT051312012,394
H2CT051312014,562
H2CT051802012,23
H2CT052062012,340
H2DE001302012,17
H2FL002922012,166
H2FL002922014,44
H2FL003002012,1
H2FL003002014,10
H2FL011002012,66
H2FL011002014,18
H2FL011912012,8
H2FL030562012,24
H2FL030562014,21
H2FL031302012,2
H2FL041122012,9
H2FL061092012,120
H2FL061092014,28
H2FL071232012,5
H2FL080552012,82
H2FL080552014,17
H2FL080632012,332
H2FL080712012,2
H2FL091032012,4
H2FL101502012,120
H2FL101502014,8
H2FL110912012,36
H2FL131882012,283
H2FL140532012,452
H2FL140532014,102
H2FL141942012,91
H2FL141942014,7
H2FL201002012,45
H2FL220722012,689
H2FL220722014,529
H2FL220982012,378
H2FL220982014,1
H2FL230212012,21
H2FL230212014,32
H2FL250182012,18
H2FL250182014,24
H2FL260652012,2
H2FL280122012,1
H2FL280122014,1
H2GA011572012,72
H2GA011572014,15
H2GA020312012,86
H2GA020312014,142
H2GA021142012,1
H2GA021142014,2
H2GA041442012,9
H2GA051332012,2
H2GA061072014,1
H2GA061152012,4
H2GA070972012,6
H2GA091502012,35
H2GA091502014,85
H2GA092002012,35
H2GA111492012,136
H2GA111492014,34
H2GA112062012,4
H2GA121052012,99
H2GA121212014,418
H2GA130122012,50
H2GA130122014,27
H2HI021102012,137
H2HI021102014,105
H2HI025082012,143
H2HI025082014,99
H2IA010552014,244
H2IA020532012,329
H2IA041172012,657
H2IA050722012,835
H2IA050722014,481
H2ID011012012,12
H2ID020182014,44
H2ID021332012,129
H2IL010422012,11
H2IL010422014,2
H2IL011662012,29
H2IL021492012,6
H2IL021722014,100
H2IL031212012,4
H2IL041452012,6
H2IL051832012,6
H2IL051832014,5
H2IL060582012,191
H2IL080392012,4
H2IL080392014,5
H2IL091102012,23
H2IL091102014,1
H2IL100682012,1213
H2IL100682014,1389
H2IL120982012,405
H2IL120982014,1
H2IL121222012,264
H2IL121222014,359
H2IL121302012,4
H2IL121302014,2
H2IL131202012,581
H2IL131202014,483
H2IL131382012,1
H2IL140782012,8
H2IL140782014,14
H2IL160572012,16
H2IL170712012,797
H2IL170712014,804
H2IL200422012,80
H2IL200422014,81
H2IN011232012,9
H2IN011232014,2
H2IN022042012,353
H2IN041352012,9
H2IN050822012,379
H2IN050822014,304
H2IN050902012,153
H2IN062132012,18
H2IN062132014,2
H2IN062392014,3
H2IN062702012,1
H2IN070882014,1
H2IN080942012,215
H2IN091672012,175
H2KS021192012,117
H2KY021172012,1
H2KY041212012,124
H2KY041212014,42
H2KY041392012,40
H2LA010752012,4
H2LA021152012,2
H2LA050842012,167
H2LA050842014,4
H2MA000142012,380
H2MA000142014,223
H2MA040732012,676
H2MA040732014,228
H2MA060782012,2
H2MA080662012,9
H2MA090722012,15
H2MA090722014,71
H2MA091892012,11
H2MA092052012,4
H2MD011472012,77
H2MD021602012,120
H2MD021602014,58
H2MD022362012,114
H2MD031432012,17
H2MD042732012,30
H2MD051552012,483
H2MD051552014,135
H2MD054782012,56
H2MD060542012,262
H2MD061382014,2
H2MD061952012,489
H2MD061952014,268
H2MD081262012,382
H2MD081262014,95
H2MD081592012,91
H2MD081592014,1
H2ME011232012,68
H2ME020712012,284
H2ME020712014,10
H2ME020972012,187
H2ME021542014,2
H2MI031482012,81
H2MI031482014,1
H2MI051192012,53
H2MI051192014,72
H2MI051272012,5
H2MI060752012,84
H2MI060752014,1
H2MI070992012,4
H2MI111172012,149
H2MI111332012,28
H2MI111332014,12
H2MI121562012,4
H2MI141112014,40
H2MI170232012,82
H2MI170232014,15
H2MN021222012,182
H2MN021222014,185
H2MN030622014,50
H2MN030702012,106
H2MN041102012,9
H2MN051332012,34
H2MN061982012,353
H2MN061982014,7
H2MN070142012,36
H2MN070142014,66
H2MN081112012,238
H2MN081112014,256
H2MO021022012,251
H2MO021022014,186
H2MO021282012,7
H2MO040822012,226
H2MO062022014,9
H2MO070932012,5
H2MO070932014,14
H2MO080752012,15
H2MS010982012,37
H2MS011142012,4
H2MS011142014,7
H2MS021382012,4
H2MT000472012,370
H2MT010602012,454
H2MT010602014,1211
H2NC010812012,56
H2NC010812014,89
H2NC021702012,50
H2NC030872012,6
H2NC051322012,44
H2NC060722012,22
H2NC070962012,371
H2NC070962014,234
H2NC081852012,169
H2NC081852014,127
H2NC082192012,1
H2NC082192014,6
H2NC090762012,429
H2NC090762014,1
H2NC091342012,245
H2NC091342014,27
H2NC110802012,312
H2NC110802014,161
H2NC111142012,245
H2NC120212012,85
H2NC131102012,392
H2NC131102014,300
H2NC131442012,13
H2ND001152012,208
H2ND001152014,1
H2NJ011042012,10
H2NJ020372012,193
H2NJ020372014,289
H2NJ021442012,30
H2NJ031832012,381
H2NJ041652012,28
H2NJ050142012,158
H2NJ050142014,204
H2NJ052872012,30
H2NJ091072012,79
H2NJ091072014,1
H2NJ091232012,1
H2NJ101542012,24
H2NJ101542014,13
H2NJ111112012,64
H2NJ121192012,40
H2NM011282012,257
H2NM021262012,359
H2NM021262014,437
H2NM021752012,23
H2NM031572012,54
H2NM031572014,65
H2NV000352012,361
H2NV012072012,21
H2NV023952012,281
H2NV023952014,115
H2NV040112012,312
H2NV040112014,182
H2NV040452012,309
H2NV040452014,2
H2NY000102012,15
H2NY000102014,24
H2NY000362012,609
H2NY000512012,472
H2NY010672012,453
H2NY010672014,374
H2NY020812012,5
H2NY030892012,138
H2NY030892014,113
H2NY061162012,459
H2NY061162014,131
H2NY061572012,53
H2NY081382012,3
H2NY100922012,38
H2NY100922014,109
H2NY121552012,5
H2NY121552014,1
H2NY140372012,165
H2NY140372014,94
H2NY160572012,2
H2NY170712012,116
H2NY170712014,157
H2NY171392012,108
H2NY210992012,76
H2NY221132012,344
H2NY221132014,1
H2NY221392012,755
H2NY221392014,679
H2NY221472012,134
H2NY241192012,7
H2NY250742012,409
H2NY261712012,11
H2OH020852012,339
H2OH020852014,219
H2OH020932014,18
H2OH030672012,222
H2OH030672014,138
H2OH031252012,170
H2OH031252014,78
H2OH031412012,12
H2OH041312012,6
H2OH041312014,2
H2OH050212012,335
H2OH071672012,238
H2OH090312012,111
H2OH090312014,62
H2OH091142012,95
H2OH121002012,8
H2OH131992012,20
H2OH140642012,298
H2OH140642014,258
H2OH150872012,38
H2OH150952014,29
H2OH171092012,120
H2OH171092014,121
H2OK011432012,165
H2OK011432014,31
H2OK011502012,156
H2OK020832012,120
H2OK020832014,166
H2OK021582012,232
H2OK040552012,119
H2OK040552014,132
H2OK041392012,7
H2OR011332012,298
H2OR011332014,90
H2OR011902012,5
H2PA020552012,54
H2PA020552014,28
H2PA031112012,105
H2PA041352012,64
H2PA041352014,74
H2PA041432012,30
H2PA050582012,8
H2PA061142012,256
H2PA061142014,20
H2PA070702012,169
H2PA081022012,693
H2PA090352012,177
H2PA090352014,193
H2PA090432014,12
H2PA090842012,7
H2PA100902012,123
H2PA110982012,228
H2PA110982014,174
H2PA131102012,67
H2PA140842012,17
H2PA150992012,10
H2PA150992014,1
H2PA160632012,20
H2PA160632014,2
H2PA170792012,354
H2PA170792014,280
H2PA170872012,13
H2PA181432012,294
H2PA181432014,166
H2PA181502012,244
H2RI011782012,185
H2RI021352012,26
H2SC010692012,34
H2SC020422012,84
H2SC020422014,50
H2SC020592012,117
H2SC020592014,63
H2SC041052012,2
H2SC050862012,9
H2SC050862014,1
H2SC070662012,315
H2SC070662014,87
H2SC071082012,75
H2SC071082014,105
H2SD001342012,452
H2TN010722012,1
H2TN020212012,1
H2TN031442012,42
H2TN031442014,30
